GEO_ID,NAME,S1401_C01_001E
48001,"Anderson County, Texas",12774
48003,"Andrews County, Texas",4893
48005,"Angelina County, Texas",21625
48007,"Aransas County, Texas",4903
48009,"Archer County, Texas",1878
48011,"Armstrong County, Texas",478
48013,"Atascosa County, Texas",12177
48015,"Austin County, Texas",7058
48017,"Bailey County, Texas",1625
48019,"Bandera County, Texas",3737
48021,"Bastrop County, Texas",20350
48023,"Baylor County, Texas",649
48025,"Bee County, Texas",7595
48027,"Bell County, Texas",100192
48029,"Bexar County, Texas",539883
48031,"Blanco County, Texas",2146
48033,"Borden County, Texas",100
48035,"Bosque County, Texas",3849
48037,"Bowie County, Texas",22764
48039,"Brazoria County, Texas",96898
48041,"Brazos County, Texas",92487
48043,"Brewster County, Texas",2067
48045,"Briscoe County, Texas",285
48047,"Brooks County, Texas",1825
48049,"Brown County, Texas",8716
48051,"Burleson County, Texas",3686
48053,"Burnet County, Texas",9354
48055,"Caldwell County, Texas",10107
48057,"Calhoun County, Texas",4715
48059,"Callahan County, Texas",2888
48061,"Cameron County, Texas",123483
48063,"Camp County, Texas",3092
48065,"Carson County, Texas",1263
48067,"Cass County, Texas",6299
48069,"Castro County, Texas",2180
48071,"Chambers County, Texas",11340
48073,"Cherokee County, Texas",12988
48075,"Childress County, Texas",1030
48077,"Clay County, Texas",2276
48079,"Cochran County, Texas",641
48081,"Coke County, Texas",692
48083,"Coleman County, Texas",1598
48085,"Collin County, Texas",275673
48087,"Collingsworth County, Texas",697
48089,"Colorado County, Texas",4878
48091,"Comal County, Texas",31969
48093,"Comanche County, Texas",2817
48095,"Concho County, Texas",563
48097,"Cooke County, Texas",9212
48099,"Coryell County, Texas",19991
48101,"Cottle County, Texas",444
48103,"Crane County, Texas",1417
48105,"Crockett County, Texas",780
48107,"Crosby County, Texas",1333
48109,"Culberson County, Texas",481
48111,"Dallam County, Texas",1794
48113,"Dallas County, Texas",689066
48115,"Dawson County, Texas",3575
48117,"Deaf Smith County, Texas",5928
48119,"Delta County, Texas",1262
48121,"Denton County, Texas",238788
48123,"DeWitt County, Texas",4126
48125,"Dickens County, Texas",388
48127,"Dimmit County, Texas",3084
48129,"Donley County, Texas",874
48131,"Duval County, Texas",2966
48133,"Eastland County, Texas",4224
48135,"Ector County, Texas",44795
48137,"Edwards County, Texas",289
48139,"Ellis County, Texas",47656
48141,"El Paso County, Texas",255026
48143,"Erath County, Texas",14020
48145,"Falls County, Texas",3316
48147,"Fannin County, Texas",7709
48149,"Fayette County, Texas",4953
48151,"Fisher County, Texas",799
48153,"Floyd County, Texas",1337
48155,"Foard County, Texas",269
48157,"Fort Bend County, Texas",229811
48159,"Franklin County, Texas",2719
48161,"Freestone County, Texas",4085
48163,"Frio County, Texas",4785
48165,"Gaines County, Texas",5430
48167,"Galveston County, Texas",88470
48169,"Garza County, Texas",1013
48171,"Gillespie County, Texas",4991
48173,"Glasscock County, Texas",438
48175,"Goliad County, Texas",1715
48177,"Gonzales County, Texas",4791
48179,"Gray County, Texas",5103
48181,"Grayson County, Texas",32121
48183,"Gregg County, Texas",30744
48185,"Grimes County, Texas",6508
48187,"Guadalupe County, Texas",42170
48189,"Hale County, Texas",9394
48191,"Hall County, Texas",701
48193,"Hamilton County, Texas",1767
48195,"Hansford County, Texas",1490
48197,"Hardeman County, Texas",764
48199,"Hardin County, Texas",13194
48201,"Harris County, Texas",1284203
48203,"Harrison County, Texas",16468
48205,"Hartley County, Texas",1009
48207,"Haskell County, Texas",1162
48209,"Hays County, Texas",67753
48211,"Hemphill County, Texas",1203
48213,"Henderson County, Texas",16812
48215,"Hidalgo County, Texas",275356
48217,"Hill County, Texas",8319
48219,"Hockley County, Texas",6436
48221,"Hood County, Texas",10573
48223,"Hopkins County, Texas",8724
48225,"Houston County, Texas",4386
48227,"Howard County, Texas",7796
48229,"Hudspeth County, Texas",1023
48231,"Hunt County, Texas",23980
48233,"Hutchinson County, Texas",5298
48235,"Irion County, Texas",419
48237,"Jack County, Texas",1734
48239,"Jackson County, Texas",3674
48241,"Jasper County, Texas",7543
48243,"Jeff Davis County, Texas",447
48245,"Jefferson County, Texas",60951
48247,"Jim Hogg County, Texas",1306
48249,"Jim Wells County, Texas",10760
48251,"Johnson County, Texas",34775
48253,"Jones County, Texas",3493
48255,"Karnes County, Texas",3048
48257,"Kaufman County, Texas",33522
48259,"Kendall County, Texas",10992
48261,"Kenedy County, Texas",98
48263,"Kent County, Texas",145
48265,"Kerr County, Texas",9986
48267,"Kimble County, Texas",727
48269,"King County, Texas",74
48271,"Kinney County, Texas",645
48273,"Kleberg County, Texas",10424
48275,"Knox County, Texas",907
48277,"Lamar County, Texas",11025
48279,"Lamb County, Texas",3277
48281,"Lampasas County, Texas",4829
48283,"La Salle County, Texas",1574
48285,"Lavaca County, Texas",4768
48287,"Lee County, Texas",4053
48289,"Leon County, Texas",3646
48291,"Liberty County, Texas",19352
48293,"Limestone County, Texas",4729
48295,"Lipscomb County, Texas",751
48297,"Live Oak County, Texas",2102
48299,"Llano County, Texas",2632
48301,"Loving County, Texas",0
48303,"Lubbock County, Texas",101767
48305,"Lynn County, Texas",1535
48307,"McCulloch County, Texas",1529
48309,"McLennan County, Texas",75925
48311,"McMullen County, Texas",210
48313,"Madison County, Texas",2812
48315,"Marion County, Texas",1654
48317,"Martin County, Texas",1571
48319,"Mason County, Texas",889
48321,"Matagorda County, Texas",8831
48323,"Maverick County, Texas",16450
48325,"Medina County, Texas",12126
48327,"Menard County, Texas",281
48329,"Midland County, Texas",44336
48331,"Milam County, Texas",5641
48333,"Mills County, Texas",1055
48335,"Mitchell County, Texas",2070
48337,"Montague County, Texas",4097
48339,"Montgomery County, Texas",150649
48341,"Moore County, Texas",5639
48343,"Morris County, Texas",2861
48345,"Motley County, Texas",285
48347,"Nacogdoches County, Texas",22426
48349,"Navarro County, Texas",11980
48351,"Newton County, Texas",2864
48353,"Nolan County, Texas",3325
48355,"Nueces County, Texas",91886
48357,"Ochiltree County, Texas",2774
48359,"Oldham County, Texas",681
48361,"Orange County, Texas",20063
48363,"Palo Pinto County, Texas",6280
48365,"Panola County, Texas",5526
48367,"Parker County, Texas",32906
48369,"Parmer County, Texas",2492
48371,"Pecos County, Texas",3720
48373,"Polk County, Texas",8806
48375,"Potter County, Texas",31879
48377,"Presidio County, Texas",1613
48379,"Rains County, Texas",2082
48381,"Randall County, Texas",36367
48383,"Reagan County, Texas",1043
48385,"Real County, Texas",809
48387,"Red River County, Texas",2351
48389,"Reeves County, Texas",3154
48391,"Refugio County, Texas",1580
48393,"Roberts County, Texas",208
48395,"Robertson County, Texas",3919
48397,"Rockwall County, Texas",27497
48399,"Runnels County, Texas",2162
48401,"Rusk County, Texas",11297
48403,"Sabine County, Texas",1867
48405,"San Augustine County, Texas",1652
48407,"San Jacinto County, Texas",5846
48409,"San Patricio County, Texas",16870
48411,"San Saba County, Texas",1324
48413,"Schleicher County, Texas",765
48415,"Scurry County, Texas",4459
48417,"Shackelford County, Texas",784
48419,"Shelby County, Texas",6259
48421,"Sherman County, Texas",718
48423,"Smith County, Texas",59232
48425,"Somervell County, Texas",1781
48427,"Starr County, Texas",19989
48429,"Stephens County, Texas",1964
48431,"Sterling County, Texas",325
48433,"Stonewall County, Texas",397
48435,"Sutton County, Texas",800
48437,"Swisher County, Texas",2051
48439,"Tarrant County, Texas",568298
48441,"Taylor County, Texas",38013
48443,"Terrell County, Texas",109
48445,"Terry County, Texas",2899
48447,"Throckmorton County, Texas",212
48449,"Titus County, Texas",8712
48451,"Tom Green County, Texas",31182
48453,"Travis County, Texas",312415
48455,"Trinity County, Texas",2615
48457,"Tyler County, Texas",3642
48459,"Upshur County, Texas",9667
48461,"Upton County, Texas",946
48463,"Uvalde County, Texas",6885
48465,"Val Verde County, Texas",13166
48467,"Van Zandt County, Texas",12058
48469,"Victoria County, Texas",22771
48471,"Walker County, Texas",20687
48473,"Waller County, Texas",17840
48475,"Ward County, Texas",2744
48477,"Washington County, Texas",9117
48479,"Webb County, Texas",89187
48481,"Wharton County, Texas",10302
48483,"Wheeler County, Texas",1218
48485,"Wichita County, Texas",31955
48487,"Wilbarger County, Texas",2939
48489,"Willacy County, Texas",5289
48491,"Williamson County, Texas",147839
48493,"Wilson County, Texas",11624
48495,"Winkler County, Texas",1894
48497,"Wise County, Texas",15905
48499,"Wood County, Texas",8998
48501,"Yoakum County, Texas",2308
48503,"Young County, Texas",4145
48505,"Zapata County, Texas",4122
48507,"Zavala County, Texas",2871